user_provide,user_receive,attention_type
Bob261048,talkRADIO,2
Bodkar1Karen,abline11,2
BoeingLufthansa,TopGearFormula1,2
BogoSportsCards,JaffeCards,2
BoiLithuanian,NorthHertsSam,2
BoiLithuanian,Zoom,1
BoiLithuanian,lauracwinter,1
BolenMedia,FormulaBone,2
BoneDaddyNFT,JoePompliano,2
BoneDaddyNFT,cryptocom,1
Bongani20994708,F1_Jordan,1
Bongani20994708,tanyajunghans,2
Bonganijgwayi11,F1,1
Bonganijgwayi11,F1_Jordan,1
Bonganijgwayi11,HillF1,1
Bonganijgwayi11,MacrosTh3Black,2
Bonganijgwayi11,gildastian666,2
BonzoKEN,MrDanzy83,2
BonzoKEN,TheBishF1,1
Boonysthings,TopGearFormula1,2
BoredArse,TwommoF1,2
Boristhespider0,Antipolluters,2
Borquist3,F1,2
Borquist3,Max33Verstappen,1
BoselliGiovanni,F1,1
BoselliGiovanni,RobLMyers,2
BoselliGiovanni,fia,1
Bossingit44,JimmyBroadbent,2
Bossingit44,RobLMyers,2
Bossman19903913,F1,1
Bossman19903913,SirLewisUpdates,2
BradleyF1YT,YuwanThayakaran,2
BradleyPhilpot,MissedApexF1,1
BradleyPhilpot,QuickStopF1,1
Brads_,F1,1
Brads_,F1_Jordan,2
Brads_,MercedesAMG,1
BrainSurgeon_8,ESPNF1,1
BrainSurgeon_8,F1,1
BrainSurgeon_8,JustDemulcent,2
BrainwashedZ,HourlyChess,1
BrainwashedZ,MariaRusanova88,2
BrandonAFranck,F1,1
BrandonSeaber,BrandonSeaber,1
BrandonSeaber,ChrisPaulDesig1,1
BrandonSeaber,jp1_design,1
BrandonSeaber,vincenzolandino,2
Brayanrvz_P,F1,1
Brayanrvz_P,victor_nunes_,2
BraynerJeff,F1,2
BraynerJeff,Max33Verstappen,1
BrazielJamar,redbullracing,2
Breizh_A1984,CrystalRacing,2
BrianW00946187,B17TAS,2
BrianW00946187,F1,1
BrianW00946187,ScarbsTech,1
BrianW00946187,redbull,1
BrianW00946187,redbullracing,1
BrianWi72967968,F1,1
BrianWi72967968,F1_Jordan,2
Briangu25535341,redbullracing,2
BrotatoChip7,F1,1
BrotatoChip7,F1_Jordan,2
Browny_95,Browny_95,2
Browny_95,F1,6
Browny_95,F1_Jordan,6
Browny_95,Jengo37,6
Browny_95,cfusionpm,10
BrunoPint041,F1,2
BrunoPint041,redbullracing,1
BryVar_Juice,redbullracing,2
BryanWhiteQwesy,Carlossainz55,1
BryanWhiteQwesy,realmadriden,2
BryanWhiteQwesy,thibautcourtois,1
Buffalorious,SkySportsF1,2
BunnyJ001,F1,2
BunnyJ001,Max33Verstappen,1
Buono_46,F1,1
Buono_46,F1_Jordan,2
BurZeus71,Independent,2
BurZeus71,swiftsambi,2
ButcherRich,F1,1
ButcherRich,F1_Jordan,2
BwRLehrer,F1,9
BwRLehrer,F1_Jordan,2
BwRLehrer,HillF1,1
BwRLehrer,Max33Verstappen,2
BwRLehrer,TomEnkelaar,2
BwRLehrer,WhingerSpice,2
BwRLehrer,redbullracing,3
C0d3nameDuchess,Iordtee,2
C4rlet0,redbullracing,2
CABarnfather,F1,2
CABarnfather,Max33Verstappen,1
CANewportBeach,JSaylorIII,4
CANewportBeach,Oracle,2
CANewportBeach,redbullracing,2
CAXI01,F1,1
CAXI01,MBrundleF1,1
CAXI01,SkySportsF1,1
CAXI01,fia,1
CAXI01,wozzauk,2
CCavhs,100demortadela2,1
CCavhs,Galileo_86,2
CCavhs,OwencdmF1,1
CCavhs,fiagirly,1
CCavhs,kumbaloalalazon,1
CErnestoRamirez,F1,2
CErnestoRamirez,Max33Verstappen,1
CFCZaLeX,F1,1
CFCZaLeX,F1_Jordan,2
CHumiliation,F1,1
CHumiliation,jeffybaby6,2
CHumiliation,redbullracing,1
CHumiliation,stanreport,1
CLARENCEGUALOT2,Motorsport,2
CMDR_ValkyrieF1,ChrisMedlandF1,2
CMDR_ValkyrieF1,FormulaReaction,2
CONORODONOGHU16,laptimedeIeted,2
CQ724MqOcStnWCX,CarsAutosRides,2
CRE70196611,LandoNorris,1
CRE70196611,McLarenF1,1
CRE70196611,ausgrandprix,2
Caio_Muaco,Ben_Sulayem,1
Caio_Muaco,F1,1
Caio_Muaco,F1_Jordan,1
Caio_Muaco,HillF1,1
Caio_Muaco,cheeseaddict77,2
Caio_Muaco,goodysobu,1
Caio_Muaco,redbullracing,1
CalWilsonTHFC,bobpockrass,2
Callum06450641,888sport,1
Callum06450641,Chelsearory,1
Callum06450641,Pebe89,2
Calvinbutlerm,F1,2
Calvinbutlerm,Max33Verstappen,1
CamThom4_,TopGearFormula1,2
CamdensonHWD,F1,2
CamdensonHWD,Max33Verstappen,1
Cameron74331311,F1,1
Cameron74331311,F1_Jordan,2
CameronGraham7,redbullracing,2
Cardiiiii,WhingerSpice,2
Carlos55YB,4c2MzbSHJF4SCDN,2
Carlos55YB,F1,1
Carlos55YB,Hymur4,1
Carlos55YB,KevinDadey,1
Carlos55YB,Krogsgaard97,1
Carlos55YB,Max33Verstappen,1
Carlos55YB,mercedesamg77,1
Carlosaor21,F1,2
Carlosaor21,Max33Verstappen,1
Carni611,CarolSaxelby,2
Carni611,DExpress_Sport,2
Carni611,F1,3
Carni611,F1_Jordan,3
Carni611,Jengo37,2
Carni611,RayyLH44,2
Carni611,RobLMyers,2
Carni611,f1losophy,2
Carni611,fia,1
CasesBarbie,F1,2
CasesBarbie,McLarenF1,1
CasesBarbie,lawrobarretto,1
CastagnaraFabio,F1,2
CastagnaraFabio,Max33Verstappen,1
Cataliinaalee,LEGO_Group,2
CatboyCycling,BenTheNascarGuy,2
Cattenaro,F1,2
Cattenaro,redbullracing,1
Catty210297,F1,2
Catty210297,redbullracing,1
CaubriereJef,AdamCLedet,2
CaubriereJef,AmandaDemir,2
CaubriereJef,DExpress_Sport,1
CaubriereJef,F1,2
CaubriereJef,F1_Jordan,4
CaubriereJef,HillF1,1
CaubriereJef,MercedesAMGF1,2
CaubriereJef,RobLMyers,6
CaubriereJef,Tarquin_Helmet,2
CaubriereJef,davebradshaw_,2
CaubriereJef,fia,1
CaubriereJef,laptimedeIeted,2
CaubriereJef,mcliffo5,2
CaubriereJef,mollyellenF1,2
CaubriereJef,tarmactorque,2
CedricBaumgart2,SomersF1,2
CedricLGuerrier,F1,1
CedricLGuerrier,F1_Jordan,1
CedricLGuerrier,HillF1,1
CedricLGuerrier,LewisHamilton,1
CedricLGuerrier,swiftsambi,2
CerraEsteban,DExpress_Sport,1
CerraEsteban,RobLMyers,2
CerraEsteban,formularacers_,2
CerraEsteban,mcliffo5,2
CesarNevarez10,redbullracing,2
ChahtaMs,fia,1
Chal_lerec,MercedesAMGF1,1
Chal_lerec,Sherriff98,2
ChalkOrion,F1,2
ChalkOrion,FaWilka,2
ChalkOrion,Max33Verstappen,2
ChalkOrion,SHZ_Koen,2
ChantsluzShane,F1,1
ChantsluzShane,MrNickKnowles,2
ChantsluzShane,SirLewisUpdates,2
ChaphekarF1,F1,1
ChaphekarF1,F1_Jordan,2
CharCujoh,NorthHertsSam,2
CharCujoh,Zoom,1
CharCujoh,decalspotters,2
Charlie94080737,redbullracing,4
ChartersRoss,F1,1
ChartersRoss,F1_Jordan,2
ChazAFCAway,F1,1
ChazAFCAway,F1_Jordan,2
Chechovel,F1,2
Chechovel,Max33Verstappen,1
Cheetahplains,F1,1
Cheetahplains,F1_Jordan,2
Chesterpeake,JaffeCards,2
ChiSquareMVP,F1,2
ChiSquareMVP,redbullracing,1
Chicagoguy775,F1,1
Chicagoguy775,QuickStopF1,2
Chicagoguy775,redbullracing,1
Chief_Sief,redbullracing,2
Chilli_Momma,AstonMartinF1,1
Chilli_Momma,Race_Dominator,2
ChimpChess,ChimpChess,1
ChimpChess,HourlyChess,1
ChimpChess,JedClamblor,1
ChimpChess,SweenLuke,1
ChrisAvilaO,EliGP,2
ChrisChros87,TopGearFormula1,2
ChrisMarc87,F1,2
ChrisSu29369464,F1,9
ChrisSu29369464,Fazywazy,2
ChrisSu29369464,MollyFS44,4
ChrisSu29369464,RobLMyers,2
ChrisSu29369464,RobinsSanders,2
ChrisSu29369464,SkySportsF1,2
ChrisSu29369464,drpafas,2
ChrisSu29369464,fia,1
ChrisSu29369464,redbullracing,7
ChrisSu29369464,sean82621404,2
ChrisWr04368455,F1,1
ChrisWr04368455,F1_Jordan,1
ChrisWr04368455,HillF1,2
Chris_Wi11iams,F1,3
Chris_Wi11iams,Max33Verstappen,1
Chris_Wi11iams,SirLewisUpdates,2
Chrisco13212777,F1_Jordan,2
Christian_SDr,F1,1
Christian_SDr,F1_Jordan,2
Chumweb,Chumweb,1
ClaretJimmy,F1,2
ClaretJimmy,F1_Jordan,4
Clarkysj1,ieuan1909,1
Claudinne11,Mr_JJackson,2
Clemson1889,F1,4
Clemson1889,redbullracing,2
Cligonio,formularacers_,2
CoffeeNCarsClub,BradleyPhilpot,2
CoffeeNCarsClub,DExpress_Sport,2
CoffeeNCarsClub,F1,1
CoffeeNCarsClub,F1_Jordan,2
CoffeeNCarsClub,LandoNorris,1
CoffeeNCarsClub,McLarenF1,1
CoffeeNCarsClub,MrNickKnowles,2
CoffeeNCarsClub,ausgrandprix,2
CoffeeNCarsClub,reetah__,2
Colette93858190,F1,2
Colette93858190,GeorgeK_VII,2
Colette93858190,JackDunc1,2
Colette93858190,MarilynMyers89,2
Colette93858190,RobLMyers,3
Colette93858190,SirLewisUpdates,2
Colette93858190,SkySportsF1,3
Colette93858190,dami_willis,2
Colette93858190,f1blag,1
Colette93858190,fia,2
Colette93858190,tariqpanja,2
Colette93858190,williamrlward,2
CollieColleen,intergalaxtics,2
CollieColleen,prudydear,2
CommuterCurd,F1,1
CommuterCurd,F1_Jordan,1
CommuterCurd,HillF1,2
ComputerVisio,Oracle,1
ComputerVisio,jblefevre60,2
ComputerVisio,redbullracing,1
Connor96004107,F1,2
Connor96004107,cryptocom,4
Connor96004107,f1miami,1
ConnyRACING,F1,2
ConnyRACING,Max33Verstappen,1
Cooperman1959,F1,2
Cooperman1959,redbullracing,1
CorVanMusic,F1,2
CorVanMusic,Max33Verstappen,1
CoreyWe72949650,TubboTWO,2
Craig8727,InvictusRL,2
Crazycreative1,_the44,2
CricketMumzo,F1,1
CricketMumzo,F1_Jordan,2
Crom_UK,JoePompliano,2
Crom_UK,cryptocom,1
Crusader20_11,Independent,2
Cryptobee1971,F1,1
Cryptobee1971,TeamLHTobey,2
Cryptobee1971,redbullracing,1
CuauhtemocOS,redbullracing,2
CuervoLipara,MercedesAMGF1,2
CulletonJohn,youngypaul,2
Cupidoge,F1,1
Cupidoge,F1_Jordan,2
CurtQ89,wtf1official,2
CurtisPiper7,F1,1
CurtisPiper7,SkySportsF1,2
D50872556,F1_Jordan,1
D50872556,IlieCat,2
D50872556,brexitdone2020,1
D50872556,fia,1
DACDibble,F1,1
DACDibble,F1_Jordan,2
DAMAURUMN,redbullracing,2
DAuguste,MrNickKnowles,2
DEEDOLLAR,F1,1
DEEDOLLAR,F1_Jordan,2
DJDriva,Silodrome,1
DJMarkAnthonyUK,DExpress_Sport,2
DJPUNKROG,F1,1
DJPUNKROG,F1_Jordan,1
DJPUNKROG,JaredMymind,2
DJPUNKROG,RobLMyers,2
DJPUNKROG,SirLewisUpdates,2
DJPUNKROG,cauterize1750,2
DJPUNKROG,fia,1
DJPUNKROG,stefxnrhys,2
DKenni,F1,2
DKenni,redbullracing,1
DNLivros,DNLivros,1
DNLivros,NetoDemetriou,2
DNLivros,cacaushow,1
